External ID,Work Item Type,Parent ID,Epic Name,Title,User Story / Summary,Description,Acceptance Criteria,Priority,Story Points,Wave,Legacy Reference,Dependency IDs,Dependency Notes,Module / Domain,Tags,Proposed Status,Azure Area Path,Azure Iteration Path,Jira Issue Type,Jira Epic Name,Notes
US-04.05,User Story,EP-04,"Planificación, agenda y smart dispatch",Reasignar o replanificar una cita con trazabilidad,"Como supervisor quiero reasignar o replanificar una cita con trazabilidad para reaccionar ante ausencias, incidencias o cambios del cliente.","Como supervisor quiero reasignar o replanificar una cita con trazabilidad para reaccionar ante ausencias, incidencias o cambios del cliente.","- La reasignación conserva histórico de operario anterior, motivo y usuario que realiza el cambio.
- El sistema notifica a las partes afectadas según reglas de negocio.
- Las citas canceladas o movidas no computan como visitas ejecutadas en reporting.",P0,3,Wave 1,"estado tarea, planificación",EP-04,EP-04.02,"Planificación, agenda y smart dispatch",ERP;Siniestros;EP-04;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,"Planificación, agenda y smart dispatch",
EP-05,Epic,,App móvil del operario y ejecución en campo,App móvil del operario y ejecución en campo,"Convertir el móvil del operario en el punto único de captura de evidencias, reporte de trabajos y conformidad del cliente.","Convertir el móvil del operario en el punto único de captura de evidencias, reporte de trabajos y conformidad del cliente.",,P0,19,Wave 1,web app operarios; seguimiento > tareas; informes operarios,,,App móvil del operario y ejecución en campo,ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave1,Epic,App móvil del operario y ejecución en campo,Fila agregadora para importación jerárquica
US-05.01,User Story,EP-05,App móvil del operario y ejecución en campo,Autenticarme y ver únicamente mis expedientes asignados,Como operario quiero autenticarme y ver únicamente mis expedientes asignados para trabajar con seguridad y foco operativo.,Como operario quiero autenticarme y ver únicamente mis expedientes asignados para trabajar con seguridad y foco operativo.,"- La app muestra agenda y expedientes asignados al operario autenticado.
- No se exponen expedientes no asignados ni información financiera innecesaria.
- La sesión puede reanudarse de forma segura y cumple con políticas de expiración.",P0,3,Wave 1,"usuario, contrasena operario",,RBAC y maestros de operario,App móvil del operario y ejecución en campo,ERP;Siniestros;EP-05;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,App móvil del operario y ejecución en campo,
US-05.02,User Story,EP-05,App móvil del operario y ejecución en campo,"Consultar datos básicos del expediente y acciones rápidas de llamada, navegación y contacto","Como operario quiero consultar datos básicos del expediente y acciones rápidas de llamada, navegación y contacto para llegar mejor preparado a la visita.","Como operario quiero consultar datos básicos del expediente y acciones rápidas de llamada, navegación y contacto para llegar mejor preparado a la visita.","- La app muestra referencia, asegurado, dirección, teléfonos, daño y observaciones relevantes.
- Existen accesos rápidos para abrir mapas, llamar o enviar comunicación predefinida.
- Los datos se descargan de forma segura y quedan cacheados para uso temporal offline.",P0,3,Wave 1,datos del siniestro y contacto cliente,,citas asignadas,App móvil del operario y ejecución en campo,ERP;Siniestros;EP-05;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,App móvil del operario y ejecución en campo,
US-05.03,User Story,EP-05,App móvil del operario y ejecución en campo,"Capturar fotos, audio, vídeo y texto libre","Como operario quiero capturar fotos, audio, vídeo y texto libre para documentar la visita con evidencia suficiente.","Como operario quiero capturar fotos, audio, vídeo y texto libre para documentar la visita con evidencia suficiente.","- La app permite adjuntar varias evidencias clasificadas por antes, durante y después.
- Los archivos se comprimen y se suben sin bloquear la experiencia de usuario.
- Cada evidencia queda asociada al expediente, a la visita y al autor que la generó.",P0,5,Wave 1,"parte firmado, fotos e informe",,permisos de dispositivo y storage,App móvil del operario y ejecución en campo,ERP;Siniestros;EP-05;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,App móvil del operario y ejecución en campo,
US-05.04,User Story,EP-05,App móvil del operario y ejecución en campo,"Indicar trabajos realizados, trabajos pendientes y posibilidad de nueva visita o liquidación","Como operario quiero indicar trabajos realizados, trabajos pendientes y posibilidad de nueva visita o liquidación para cerrar correctamente la intervención.","Como operario quiero indicar trabajos realizados, trabajos pendientes y posibilidad de nueva visita o liquidación para cerrar correctamente la intervención.","- El operario puede registrar texto libre y seleccionar resultado de la visita: completada, pendiente, ausente o requiere material.
- Si requiere nueva visita, la app solicita motivo y puede proponer presupuesto preliminar según baremos habilitados.
- El envío del parte valida campos mínimos según el resultado elegido.",P0,3,Wave 1,"trabajos realizados, pendientes, marcar visita, liquidarse",,baremos y estado de visita,App móvil del operario y ejecución en campo,ERP;Siniestros;EP-05;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,App móvil del operario y ejecución en campo,
US-05.05,User Story,EP-05,App móvil del operario y ejecución en campo,Recoger la conformidad y firma del cliente,Como operario quiero recoger la conformidad y firma del cliente para dejar prueba formal de la intervención realizada.,Como operario quiero recoger la conformidad y firma del cliente para dejar prueba formal de la intervención realizada.,"- La firma se captura en pantalla táctil y se almacena como activo vinculado al parte.
- El cliente visualiza un resumen legible antes de firmar.
- Una vez enviado, el parte genera evento de recepción y no puede alterarse sin crear versión nueva.",P0,5,Wave 1,parte firmado,,cierre de reporte,App móvil del operario y ejecución en campo,ERP;Siniestros;EP-05;Wave1,Propuesto,ERP\Siniestros,Wave1,Story,App móvil del operario y ejecución en campo,
EP-06,Epic,,"Excepciones operativas, SLA y task manager interno","Excepciones operativas, SLA y task manager interno","Asegurar que nada queda olvidado: pendientes, informes caducados, tareas internas, alertas persistentes y control de cumplimiento.","Asegurar que nada queda olvidado: pendientes, informes caducados, tareas internas, alertas persistentes y control de cumplimiento.",,P1,15,Wave 2,"seguimiento estado tarea, pendientes, informes caducados, modulos/eventos, tareas y notas",,,"Excepciones operativas, SLA y task manager interno",ERP;Siniestros;Epic,Propuesto,ERP\Siniestros,Wave2,Epic,"Excepciones operativas, SLA y task manager interno",Fila agregadora para importación jerárquica
US-06.01,User Story,EP-06,"Excepciones operativas, SLA y task manager interno",Detectar citas vencidas sin parte recibido,Como sistema quiero detectar citas vencidas sin parte recibido para alimentar la bandeja de informes caducados y activar reclamación al operario.,Como sistema quiero detectar citas vencidas sin parte recibido para alimentar la bandeja de informes caducados y activar reclamación al operario.,"- Un watchdog periódico identifica visitas pasadas sin reporte asociado.
- Los expedientes afectados se muestran en una bandeja específica filtrable por operario y gremio.
- La salida de la bandeja se produce automáticamente al recibirse el parte o justificar la incidencia.",P1,3,Wave 2,informes caducados,"EP-04, EP-05",EP-04 y EP-05,"Excepciones operativas, SLA y task manager interno",ERP;Siniestros;EP-06;Wave2,Propuesto,ERP\Siniestros,Wave2,Story,"Excepciones operativas, SLA y task manager interno",
US-06.02,User Story,EP-06,"Excepciones operativas, SLA y task manager interno",Mover un expediente a pendiente con causa tipificada,Como tramitador quiero mover un expediente a pendiente con causa tipificada para mantener el flujo ordenado cuando el caso no pueda avanzar.,Como tramitador quiero mover un expediente a pendiente con causa tipificada para mantener el flujo ordenado cuando el caso no pueda avanzar.,"- Las causas de pendiente se parametrizan y pueden requerir fecha de revisión obligatoria.
- El expediente en pendiente sigue visible en bandejas y reporting con su causa activa.
- La reactivación del expediente queda auditada con motivo y usuario.",P1,3,Wave 2,"pendientes por cliente ausente, secado, instrucciones periciales, materiales",,catálogo de causas,"Excepciones operativas, SLA y task manager interno",ERP;Siniestros;EP-06;Wave2,Propuesto,ERP\Siniestros,Wave2,Story,"Excepciones operativas, SLA y task manager interno",
